,kid_score,mom_hs,mom_iq,mom_work,mom_age
1,65,1,121.1175286,4,27
2,98,1,89.36188171,4,25
3,85,1,115.4431649,4,27
4,83,1,99.44963944,3,25
5,115,1,92.74571,4,27
6,98,0,107.9018378,1,18
7,69,1,138.8931061,4,20
8,106,1,125.1451195,3,23
9,102,1,81.61952618,1,24
10,95,1,95.07306862,1,19
11,91,1,88.57699772,1,23
12,58,1,94.85970819,4,24
13,84,1,88.96280085,4,27
14,78,1,114.114297,4,26
15,102,0,100.5340719,2,24
16,110,1,120.4191456,1,26
17,102,1,114.4268769,3,23
18,99,1,111.5923576,3,26
19,105,1,133.8492272,4,20
20,101,0,97.26480106,3,17
21,102,1,110.0968061,4,21
22,115,1,126.7239942,2,26
23,100,1,97.91159031,2,20
24,87,1,99.92572516,4,23
25,99,0,97.59500805,4,19
26,96,1,121.7480135,4,27
27,72,1,98.7480787,3,21
28,78,1,97.91525433,4,22
29,77,1,80.35855646,2,24
30,98,1,114.3078606,2,22
31,69,1,109.1383163,1,27
32,130,1,101.8171797,2,23
33,109,1,117.9651043,3,27
34,106,0,108.6334969,2,22
35,92,1,96.52861915,3,27
36,100,1,92.87137547,4,22
37,107,1,95.89813429,4,27
38,86,1,107.0154577,4,25
39,90,1,87.19701175,1,22
40,110,1,89.36188171,4,25
41,107,1,102.5309878,2,21
42,113,1,130.1668602,3,24
43,65,1,83.4141026,3,22
44,102,1,125.7534662,1,24
45,103,0,85.81037656,4,27
46,111,1,126.5200726,4,28
47,42,1,79.2030481,4,21
48,100,1,113.1659072,1,23
49,67,1,110.3313879,1,26
50,92,1,99.40922374,4,28
51,100,1,102.4255265,2,24
52,110,1,124.9004377,3,27
53,56,1,94.85970819,4,24
54,107,1,92.36856455,3,29
55,97,1,101.8171797,1,23
56,56,0,79.83353296,1,21
57,95,1,96.22613927,2,21
58,78,0,82.35547239,4,21
59,76,0,76.57564732,1,24
60,86,1,110.0134829,1,23
61,79,1,111.5923576,4,26
62,81,1,113.6574074,4,17
63,79,0,101.1645568,4,24
64,79,1,101.341094,4,25
65,56,1,101.6981635,2,22
66,52,1,98.81915458,2,25
67,63,1,93.4981963,2,20
68,80,1,87.2938899,4,24
69,87,1,87.316028,4,23
70,88,1,86.20945742,2,25
71,92,1,89.83796743,4,23
72,100,0,121.8700149,1,20
73,94,0,127.5443786,4,20
74,117,1,109.9913448,4,24
75,102,1,90.44631419,4,24
76,107,1,88.8949027,4,26
77,99,1,113.0468909,4,22
78,73,0,78.01315427,4,25
79,56,1,95.38965088,1,20
80,78,0,83.61644211,2,21
81,94,0,86.24628061,2,19
82,110,1,95.38965088,4,20
83,109,1,111.2523145,4,24
84,86,1,127.0144359,1,24
85,92,1,89.95195087,2,28
86,91,1,99.2731022,2,24
87,123,1,81.16557856,1,25
88,102,1,110.5212875,3,20
89,105,1,136.4938469,4,23
90,114,1,123.8620117,1,24
91,96,1,134.6023923,1,23
92,66,1,91.09893715,3,23
93,104,1,103.2693718,2,19
94,108,1,126.2870729,3,22
95,84,1,127.5443786,4,20
96,83,0,92.4738903,4,28
97,83,1,84.79408857,4,23
98,92,0,100.5340719,2,24
99,109,0,108.0030121,4,22
100,95,0,78.80714497,1,26
101,93,1,121.1175286,4,27
102,114,1,103.0560113,2,24
103,106,1,100.4371938,2,22
104,87,1,88.55485962,2,24
105,65,1,85.30555717,4,22
106,95,1,119.4486177,3,24
107,61,1,90.55177555,2,21
108,73,1,96.33403834,4,19
109,112,1,127.6449208,4,24
110,113,1,119.8565589,4,27
111,49,0,112.0189209,1,28
112,105,1,92.514306,4,25
113,122,1,96.02379976,4,22
114,96,1,91.41684213,4,26
115,97,1,103.0781494,2,23
116,94,1,100.2436301,3,26
117,117,1,89.81582933,4,24
118,136,1,115.0573617,4,23
119,85,0,96.65062059,4,20
120,116,1,105.5779508,4,24
121,106,1,97.72169071,4,26
122,99,1,131.8357712,4,27
123,94,1,101.8171797,1,23
124,89,1,93.4981963,4,20
125,119,1,104.0265393,4,26
126,112,1,103.7086343,4,23
127,104,0,107.3688632,2,20
128,92,1,92.55112919,2,19
129,86,1,94.44258376,2,19
130,69,1,93.14479086,4,25
131,45,1,83.4141026,4,22
132,57,1,71.03740514,2,28
133,94,1,127.6670589,1,23
134,104,1,115.6878466,4,23
135,89,0,90.97625687,1,20
136,144,1,132.8653369,3,25
137,52,1,72.50229639,1,26
138,102,1,100.7106092,4,25
139,106,1,132.6887997,3,24
140,98,1,98.54573919,2,22
141,97,1,115.6657085,3,24
142,94,1,117.0627998,3,28
143,111,1,136.4938469,3,23
144,100,1,106.5484787,2,26
145,105,1,134.1263066,2,25
146,90,1,104.6570241,4,26
147,98,1,99.37856356,2,21
148,121,1,100.4371938,1,22
149,106,1,89.52538756,4,26
150,121,1,120.9229478,4,19
151,102,1,113.1437691,4,24
152,64,1,126.4147469,1,29
153,99,1,122.7371635,4,28
154,81,1,115.3752667,4,26
155,69,1,91.60674173,2,20
156,84,1,88.66032097,2,21
157,104,1,107.1789636,3,26
158,104,1,104.969604,4,23
159,107,1,103.8630334,4,25
160,88,1,110.0968061,4,21
161,67,0,88.45431744,1,20
162,103,0,117.0321396,1,21
163,94,1,125.6565881,4,22
164,109,1,122.6010419,4,24
165,94,1,121.0496304,3,26
166,98,1,93.14479086,3,25
167,102,1,99.37856356,3,21
168,104,1,123.8928074,4,29
169,114,0,113.0432269,2,20
170,87,1,115.7711699,3,21
171,102,1,114.9383455,4,22
172,77,1,93.62087658,4,23
173,109,1,121.7480135,1,27
174,94,1,90.34943603,4,22
175,93,0,83.41043858,2,20
176,86,1,99.48646263,4,19
177,97,1,113.9103755,4,28
178,97,1,97.59500805,4,19
179,88,1,89.81582933,4,24
180,103,1,119.5847392,4,28
181,87,0,97.38164763,2,24
182,87,1,84.87741183,4,21
183,90,1,102.3286483,4,22
184,65,1,99.2731022,4,24
185,111,0,99.07504975,4,18
186,109,1,96.9277,3,25
187,87,1,108.3132506,2,19
188,58,1,100.5340719,4,24
189,87,1,99.48646263,4,19
190,113,1,113.9876144,3,19
191,64,0,92.77020117,4,18
192,78,0,88.02983612,4,21
193,97,0,106.1115575,4,22
194,95,0,103.2325486,3,25
195,75,1,99.2952403,4,23
196,91,0,106.7420423,3,22
197,99,1,99.17256003,2,20
198,108,1,102.4476646,1,23
199,95,1,92.86771145,4,20
200,100,1,116.826136,4,20
201,85,1,85.42457343,1,23
202,97,0,115.5651663,2,20
203,108,1,113.1745649,4,29
204,90,1,106.8610586,1,23
205,100,1,95.83023613,3,26
206,82,0,77.10925402,1,22
207,94,1,89.29080583,2,21
208,95,1,112.412742,4,20
209,119,1,110.6439677,1,23
210,98,1,109.5373972,1,25
211,100,0,107.9018378,1,18
212,112,1,104.969604,2,23
213,136,0,107.6827658,2,19
214,122,1,109.4663213,2,21
215,126,1,133.532645,1,19
216,116,1,128.8090124,2,22
217,98,1,101.2700181,4,21
218,94,1,87.316028,4,23
219,93,1,118.0907698,4,22
220,90,1,120.2556397,2,25
221,70,1,90.34577201,4,20
222,110,1,79.90460884,4,25
223,104,1,136.5771702,4,21
224,83,1,102.4255265,2,24
225,99,1,132.6887997,4,24
226,81,1,96.29721515,3,25
227,104,1,118.209786,4,23
228,109,1,118.0907698,4,22
229,113,1,101.5045999,2,26
230,95,0,94.33468469,2,21
231,74,1,84.67140829,1,20
232,81,1,86.7688664,2,21
233,89,1,129.2459336,4,26
234,93,1,127.7810423,4,28
235,102,1,106.8610586,2,23
236,95,1,105.754488,1,25
237,85,1,117.0321396,4,21
238,97,1,119.3517395,2,22
239,92,1,102.7655696,1,26
240,78,0,108.2053516,3,21
241,104,1,126.4147469,4,29
242,120,1,101.900503,2,21
243,83,0,99.15625564,2,17
244,105,1,91.81274526,1,21
245,68,1,84.14146561,4,24
246,104,1,84.35482604,4,19
247,80,1,79.11972485,2,23
248,120,1,91.41684213,4,26
249,94,1,90.44631419,2,24
250,81,1,79.00070859,4,22
251,101,1,109.2639818,4,22
252,61,1,76.75218455,4,25
253,68,1,97.59500805,4,19
254,110,1,128.8090124,4,22
255,89,0,113.6574074,1,17
256,98,0,114.2066863,2,18
257,113,1,112.5132842,4,24
258,50,0,75.3368157,1,23
259,57,0,81.52264802,2,22
260,86,1,102.6388869,4,19
261,83,1,101.1866949,1,23
262,106,1,112.2228424,4,26
263,106,0,123.408064,3,25
264,104,1,86.56652689,3,22
265,78,1,100.1169475,2,19
266,99,1,102.3286483,3,22
267,91,1,87.94651286,1,23
268,40,0,80.25801429,1,20
269,42,0,80.25801429,1,20
270,69,1,91.07679905,4,24
271,84,1,85.57897256,4,25
272,58,1,113.1659072,4,23
273,42,1,112.0593366,2,25
274,72,1,101.2700181,3,21
275,80,0,81.83288661,1,19
276,58,0,81.09450268,3,21
277,52,1,81.3290844,4,26
278,101,1,120.6090452,3,20
279,63,1,102.4476646,4,23
280,73,1,90.97625687,2,20
281,68,1,103.7086343,4,23
282,60,1,102.3286483,4,22
283,69,1,121.8700149,4,20
284,73,0,88.66032097,1,21
285,75,0,90.02918976,1,19
286,20,0,83.53311886,2,23
287,56,1,91.92064433,2,19
288,49,1,87.19334773,1,20
289,71,0,80.46401782,4,21
290,46,0,84.31800285,1,25
291,54,0,77.73973888,3,22
292,54,0,82.27214914,1,23
293,44,1,77.38266941,4,25
294,74,1,89.71528716,3,20
295,58,0,79.90460884,2,25
296,46,1,82.15313288,4,22
297,76,0,80.26167831,2,22
298,43,0,77.38266941,4,25
299,60,0,82.78361774,4,22
300,58,1,89.20748258,4,23
301,89,1,89.08846632,4,22
302,43,0,88.98729202,2,18
303,94,1,118.9235942,1,21
304,88,1,83.85102383,4,26
305,79,1,84.04458746,4,22
306,87,1,105.0529273,4,21
307,46,1,107.999348,4,20
308,95,1,97.38164763,4,24
309,92,1,103.7919576,4,21
310,42,0,97.59500805,4,19
311,62,1,88.66032097,2,21
312,52,1,107.2468617,2,27
313,101,1,89.83796743,2,23
314,97,1,108.9069123,4,25
315,85,1,100.6395333,3,21
316,98,1,118.8402709,1,23
317,94,1,95.51233116,2,23
318,90,1,84.77195047,2,24
319,72,1,100.7474323,1,19
320,92,1,87.00344812,1,26
321,75,0,77.85875513,4,23
322,83,1,85.30189315,4,20
323,64,1,92.77020117,1,18
324,101,1,74.86072998,4,25
325,82,1,115.2485841,4,19
326,77,1,107.3725272,4,22
327,101,1,102.2029829,4,27
328,50,1,97.91159031,4,20
329,90,1,96.85662413,4,21
330,103,1,111.4656749,2,19
331,96,1,109.4663213,3,21
332,50,1,82.25001104,4,24
333,47,1,92.77020117,4,18
334,73,1,115.5688303,2,22
335,62,0,84.04458746,4,22
336,77,1,116.1993152,4,22
337,64,1,99.2952403,4,23
338,52,1,87.19334773,2,20
339,61,1,76.71176886,4,28
340,86,1,80.69859954,2,26
341,41,0,82.46337146,1,19
342,83,1,85.1798917,4,27
343,64,1,93.07371498,4,21
344,83,1,88.57699772,4,23
345,116,1,103.0560113,4,24
346,100,0,86.87676547,3,19
347,42,0,97.91525433,4,22
348,74,1,120.9229478,4,19
349,76,1,91.72942201,4,23
350,92,1,87.50725033,4,19
351,98,1,90.44631419,4,24
352,96,1,84.16360371,3,23
353,67,1,96.65428461,4,22
354,84,1,95.70355348,2,19
355,111,1,88.76822004,4,19
356,41,0,92.13971631,1,18
357,68,1,108.0030121,3,22
358,107,1,80.38935225,3,29
359,82,0,99.80304488,4,20
360,89,1,90.02918976,4,19
361,83,1,93.93878156,4,26
362,73,1,103.7086343,4,23
363,74,1,77.10925402,4,22
364,94,1,117.5571631,2,24
365,58,1,79.83353296,2,21
366,76,1,83.61644211,2,21
367,61,1,88.73139685,4,25
368,38,1,82.78361774,4,22
369,100,1,86.87676547,4,19
370,84,1,88.73139685,4,25
371,99,1,92.24089061,4,22
372,86,1,90.55177555,1,21
373,94,1,84.14146561,4,24
374,90,1,93.07371498,2,21
375,50,0,85.83486773,2,18
376,112,1,98.85597777,4,19
377,58,1,95.51233116,2,23
378,87,1,101.0676786,2,22
379,76,1,85.93237801,1,20
380,68,1,82.78361774,2,22
381,110,1,98.66475544,2,23
382,88,0,82.14946886,3,20
383,87,0,85.61579575,1,19
384,54,0,79.43762983,1,26
385,49,0,75.3368157,1,23
386,56,1,80.89216317,2,22
387,79,1,115.7711699,3,21
388,82,1,97.159104,4,27
389,80,0,80.89216317,1,22
390,60,1,79.50552798,4,27
391,102,1,98.01213248,4,24
392,87,1,108.8664966,4,28
393,42,0,80.69859954,4,26
394,119,1,100.7474323,4,19
395,84,1,91.09893715,4,23
396,86,1,82.98595725,1,21
397,113,1,89.71528716,4,20
398,72,1,131.0107055,4,19
399,104,1,124.5146346,4,23
400,94,1,91.61040575,4,22
401,78,0,92.99039172,1,23
402,80,0,91.88382114,1,25
403,67,0,88.69098116,1,28
404,104,1,126.0935093,3,26
405,96,0,84.98531089,3,19
406,65,0,82.98595725,1,21
407,64,1,101.7950416,3,24
408,95,1,100.2436301,2,26
409,56,1,110.0134829,4,23
410,75,0,88.57699772,2,23
411,91,1,106.7420423,3,22
412,106,1,95.2921406,2,18
413,76,1,108.3132506,1,19
414,90,1,110.3313879,3,26
415,108,1,116.8298001,4,22
416,86,0,86.68554314,1,23
417,85,1,96.85662413,2,21
418,104,0,90.24826174,1,18
419,87,1,89.29080583,4,21
420,41,0,74.23024512,1,25
421,106,0,91.88382114,4,25
422,76,0,96.46072099,3,26
423,100,0,97.40378573,4,23
424,89,1,131.5332913,4,21
425,42,1,78.24455827,2,27
426,102,1,127.6757166,4,29
427,104,1,124.5146346,4,23
428,59,0,80.46401782,4,21
429,93,0,74.86072998,2,25
430,94,0,84.87741183,4,21
431,76,1,92.99039172,4,23
432,50,0,94.85970819,2,24
433,88,1,96.85662413,2,21
434,70,1,91.25333628,2,25